;;"SIGLA";"vnum";"repertorio_n";"rubrica_1";"incipit_ms";"inizio";"fine"
"";"Scheda";"p_°R_c-1099";"1099";"BEdT 411,II";":R. uidal de bezaudu(n).";"En aq(ue)l te(m)ps com era iays";"131 vD";"133 vB"
"";"Scheda";"p_°R_c-1100";"1100";"BEdT 411,I";".Castia gilos. den .R./Uidal de bezaudu.";"Unas nouas uos uuelh co(n)tar";"133 vB";"134 rC"
"";"Scheda";"p_°R_c-1101";"1101";"BEdT 029a,I";"Ensenhame(n) den ar.w./de marsan.";"Qui comte uol ape(n)dre";"134 rC";"134 vE"
"";"Scheda";"p_°R_c-1102";"1102";"BEdT 030,I";".Ar. de marruelh.";"Sel q(ue) uos es del cor p(us) p(re)s";"134 vE";"135 rA"
"";"Scheda";"p_°R_c-1103";"1103";"BEdT 030,II";".Ar. de marruelh.";"Dona sel q(ue) no pot au(er)";"135 rA";"135 rB"
"";"Scheda";"p_°R_c-1104";"1104";"BEdT 030,III";".Ar. de marruelh.";"Dona ge(n)s(er) q(ue) no sai dir";"135 rC 01";"135 rE"
"";"Scheda";"p_°R_c-1105";"1105";"BEdT 030,V";".Ar. de marruelh.";"Totas bo(n)as do(n)as uale(n)s";"135 rE";"135 vB"
"";"Scheda";"p_°R_c-1106";"1106";"BEdT 030,VI";".Ar. de marruelh.";"Razo es e mezura";"135 vB";"136 rA"
"";"Scheda";"p_°R_c-1107";"1107";"BEdT 243,007a";".Gr. de cala(n)so";"Fadet ioglar";"136 rB 01";"136 rC"
"";"Scheda";"p_°R_c-1108";"1108";"BEdT 406,I";"R. de mirauals.";"Dona la ge(n)ser co(m) dema(n)da";"136 rC";"136 rE"
"";"Scheda";"p_°R_c-1109";"1109";"BEdT 210,I";".G. de b(er)gueda(n).";"Amicx senh(er) nous o cal dir";"136 rE";"136 rE"
"";"Scheda";"p_°R_c-1110";"1110";"BEdT 210,II";".G. de b(er)gueda(n).";"De far iutiam(en)tz";"136 vA 01";"136 vA"
"";"Scheda";"p_°R_c-1111";"1111";"BEdT 392,III";"Raymbaut de uaq(eu)iras.";"Uale m(ar)q(ue)s senh(er) de monferratarq(ue)s";"136 vB 01";"136 vB"
"";"Scheda";"p_°R_c-1111a";" ";"BEdT 392,II";"-";"Sey(er) m(ar)q(ue)s ia no(n) diretz d(e) no";"136 vB";"136 vC"
"";"Scheda";"p_°R_c-1111b";" ";"BEdT 392,I";"-";"Ho(n)rat m(ar)q(ue)s nous uuelh tot re/m(em)brar";"136 vB";"136 vD"
"";"Scheda";"p_°R_c-1112";"1112";"BEdT 335,II";".P. cardenal.";"Una cieutat fo no sai cals";"136 vD";"137 rA"
"";"Scheda";"p_°R_c-1113";"1113";"BEdT 335,027";".P. cardenal.";"J(e)h(s)u crist nostre saluaire";"137 rA";"137 rD"
"";"Scheda";"p_°R_c-1114";"1114";"BEdT 335,014";".P. cardenal.";"Sel q(ue) fes tot ca(n)t es";"137 rD";"137 rE"
"";"Scheda";"p_°R_c-1115";"1115";"BEdT 335,064";".P. cardenal.";"Un estribot farai";"137 vA 01";"137 vA"
"";"Scheda";"p_°R_c-1116";"1116";"BEdT 411,III";".R. uidal [. . . . . .]";"Abril issie m(a)ys intraua";"137 vB 01";"139 vC"
"";"Scheda";"p_°R_c-1117";"1117";"BEdT";"Episcop(us) declarame(n)s de/motas demandas.";"Us ioues ho(m)s pictaus se co/mandet ad hom p(ro)ficha/ble";"139 vC";"140 rA"
"";"Scheda";"p_°R_c-1117a";" ";"BEdT XXXX";"Los .vii. sagram(en)s";"Lo p(re)mier sagram(en) es bateyar";"140 rB 01";"140 rB"
"";"Scheda";"p_°R_c-1118";" ";" ";"De las sangnias.";"Lo p(ri)mier no(n) auras dieus estia(n)s";"140 rB";"140 rC"
"";"Scheda";"p_°R_c-1119";"1119";"BEdT 154,I";".Folq(ue)t de lunel.";"E no(m) del paire glorios";"140 rC";"140 vE"
"";"Scheda";"p_°R_c-1120";"1120";"BEdT";"Aiso es la reuelatio q(ue) dieu/fe a sant paul (et) a sa(n)tmi/q(ue)l. de las penas dels yfer(n)s.";"Lo dia del dime(n)ge es/elegutz del cal salegro(n)/tug li angel";"140 vE";"141 rA"
"";"Scheda";"p_°R_c-1121";"1121";"BEdT";"Aiso so(n) las naturas dalcus auzels e/dalcunas bestias. del pol";"La natura del pol";"141 rA";"141 vA"
"";"Scheda";"p_°R_c-1122";"1122";"BEdT 461,e";"-";"Mot aurai estat lo(n)gam(en)";"141 vB 01";"141 vC"
"";"Scheda";"p_°R_c-1122_01";" ";"BEdT 289,I";"Lensenhamen del guarso fach lan de nostre senhe M ccc xx e vi lo cal fec caualier/lunel demo(n)teg clerc";"autrier mentre ques ieu mestaua";"141 vB";"142 rD"
"";"Scheda";"p_°R_c-1122_02";" ";"Z 544,a";"[...] M e ccc e xxxvi";"Ho flors odorifera";"142 vA 01";"142 vB"
"";"Scheda";"p_°R_c-1122_03";" ";"BEdT 289,001";"§ Siruentesc deluy meseys fag el meseis an.";"Mal ueg trop apparelhar";"142 vC 01";"142 vD"
"";"Scheda";"p_°R_c-1122_04";" ";"BEdT 289,001a";"Sirue(n)tesc deluy meseys loqual fec al temps [...]/edelamala [...] estia (?)";"Mereuilhar nos deuo las gens";"142 vD";"142 vD"
"";"Scheda";"p_°R_c-1125";"1125";"BEdT 055,001";".B. ar~. de mo(n)cuc";"Er can li rozier";"143 rA 01";"143 rA"
"";"Scheda";"p_°R_c-1126";"1126";"BEdT 085,001";"Brt~. de paris de roergue";"Guordo yeus fas .i. bo siruentes lan";"143 rA";"143 rB"
"";"Scheda";"p_°R_c-1127";" ";"BEdT 437,020a";"Sordel";"Mant homem fan merauilhar";"143 rB";"143 rB"
"";"Scheda";"p_°R_c-1128";"1127";"BEdT 030,022";"pos de capduelh";"Si com li peys an en laigua lur uida";"143 rB";"143 vA"
"";"Scheda";"p_°R_c-1129";"1128";"BEdT 392,014";"Raymbaut de uq(ue)iras lo garlambey";"El so que pus magensa";"143 vA";"143 vA"
"";"Scheda";"p_°R_c-1130";"1129";"BEdT 392,032";"Raymbaut de uaq(ue)iras. lo carros";"Truan mala guerra";"143 vA";"143 vB"
"";"Scheda";"p_°R_c-1131";"1130";"BEdT 292,001";".tenso.";"Fraire .B. trop sai estatz";"143 vB";"144 rA"
"";"Scheda";"p_°R_c-1132";"1131";"BEdT 149,001";".tenso.";"En falconet bem platz car es uengutz";"144 rA";"144 rA"
"";"Scheda";"p_°R_c-1133";"1132";"BEdT 437,011";"te(n)so de(n) Brt~. de laman[....]";"Doas donas amon";"144 rB 01";"144 rB"
"";"Scheda";"p_°R_c-1134";"1133";"BEdT 031,001";"Ar~. p. dagange";"Can lo temps brus e la freia sazos";"144 rB";"144 vA"
"";"Scheda";"p_°R_c-1135";"1134";"BEdT 242,023";".Gr. de calanso.";"Mot era dos e plazens";"144 vA";"144 vB"
"";"Scheda";"p_°R_c-1136";"1135";"BEdT 026a,I";"-";"Di[...]";"144 vB";"145 rB"
"";"Scheda";"p_°R_c-1137";"1136";"BEdT 021a,II";"Namanieu de sescas";"Dona p(er) cuy planc e sospir";"145 rB";"145 rE"
"";"Scheda";"p_°R_c-1138";"1137";"BEdT 194,019";"-";"Si bem partetz mala domna de uos";"145 vA";"145 vA"
"";"Scheda";"p_°R_c-1139";"1138";"BEdT 234,007";"-";"Dona ieu vous sui messatgiers";"145 vA";"145 vA"
"";"Scheda";"p_°R_c-1140";"1139";"BEdT 021a,IV";"Aiso es lessenhame(en) dela do(n)zela/Den amanieu de sescas.";"En aquel mes de mai";"146 vA";"147 rB"
"";"Scheda";"p_°R_c-1141";"1140";"BEdT 021a,III";"Ama/nieu de sescas/dieu da/mor";"El temps de/nadalor";"147 rB";"147 rG"
"";"Scheda";"p_°R_c-1142";"1141";"BEdT 021a,I";"Amanieu/de sescas.";"A vos q(ui)eu am / deszamatz";"147 vA 01";"147 vB"
"";"Scheda";"p_°R_c-1143";" ";"BEdT 345,I";"-";"ai on cobra sos dregxestatz";"148 vA 01";"149 rA"
"";"Scheda";"p_°B_0001";" ";"BEdT 242.B.A";"-";"Girautz de borneill fo delemozi/delencontrada desiduoill dun/ric castel deluescomte delemot/gas";"005 rA";"051 rA"
"";"Scheda";"p_°B_0002";" ";"BEdT 242,017";"-";"<.>r auziretz enca/balitz chantars.";"005 rA";"005 vA"
"";"Scheda";"p_°B_0003";" ";"BEdT 242,020";"§Girautz deborneill.";"Ben mera bels chantars";"005 vB 01";"006 rB"
"";"Scheda";"p_°B_0004";" ";"BEdT 242,001";"§Girautz deborneill.";"Aben chantar. couen amars";"006 rB";"006 vB"
"";"Scheda";"p_°B_0005";" ";"BEdT 242,051";"Girautz deborneill.";"Non puosc soffrir cala dolor";"006 vB";"006 rB"
"";"Scheda";"p_°B_0006";" ";"BEdT 242,036";"Girautz deborneill.";"Ges aissi deltot non lais";"007 rB";"007 vB"
"";"Scheda";"p_°B_0007";" ";"BEdT 242,055";"Girautz deborneill.";"Per solatz reueillar";"008 rA";"008 vA"
"";"Scheda";"p_°B_0008";" ";"BEdT 242,047";"Girautz deborneill";"Los apleitz ab qieu suoill.";"008 vA";"009 rA"
"";"Scheda";"p_°B_0009";" ";"BEdT 242,054";"§Girautz deborneill.";"Ops magra si mo cossentis";"009 rA";"009 vA"
"";"Scheda";"p_°B_0010";" ";"BEdT 242,042";"Girautz deborneill.";"La flors eluergan";"009 vA";"010 rB"
"";"Scheda";"p_°B_0011";" ";"BEdT 242,012";"§Girautz deborneill.";"Aqest terminis clars e gens.";"010 rB";"010 vA"
"";"Scheda";"p_°B_0012";" ";"BEdT 242,018";"§Girautz deborneill.";"Ben deu enbona cort dir";"010 vA";"011 rA"
"";"Scheda";"p_°B_0013";" ";"BEdT 242,074";"§Girautz deborneill.";"Si sotils sens";"011 rA";"011 vA"
"";"Scheda";"p_°B_0014";" ";"BEdT 330,019a";"§Girautz deborneill.";"Un sonet nouel fatz";"011 vA";"011 vB"
"";"Scheda";"p_°B_0015";" ";"BEdT 242,037";"§Girautz deborneill.";"Ges de sobreuoler nom tuoill";"011 vB";"012 rB"
"";"Scheda";"p_°B_0016";" ";"BEdT 242,040";"Girautz deborneill.";"Iois echans. esolaz";"012 rB";"012 vB"
"";"Scheda";"p_°B_0017";" ";"BEdT 242,072";"§Girautz deborneill.";"Sim sentis fizels amics";"012 vB";"013 rB"
"";"Scheda";"p_°B_0018";" ";"BEdT 242,066";"§Girautz deborneill.";"Sera non poia mos chans";"013 rB";"013 vB"
"";"Scheda";"p_°B_0019";" ";"BEdT 242,039";"§Girautz deborneill.";"Iam uai reuenen";"013 vA";"014 rA"
"";"Scheda";"p_°B_0020";" ";"BEdT 242,046";"Girautz deborneill.";"Lo doutz chant dun auzel";"014 rA";"014 vB"
"";"Scheda";"p_°B_0021";" ";"BEdT 242,060";"§Girautz deborneill.";"Qand lofreitz el glatz elaneus";"014 vB";"015 rB"
"";"Scheda";"p_°B_0022";" ";"BEdT 242,049";"§Girautz deborneill.";"Nom platz chans de rossignol.";"015 rB";"015 vB"
"";"Scheda";"p_°B_0023";" ";"BEdT 356,006";"Girautz deborneill.";"P(er) far esbaudir mos uezis. qeis fant irat";"0015 vB";"0016 rA"
"";"Scheda";"p_°B_0024";" ";"BEdT 242,031";"§Girautz deborneill.";"De chantar mi fora entremes";"0016 rB 01";"0016 vA"
"";"Scheda";"p_°B_0025";" ";"BEdT 242,058";"§Girautz deborneill.";"Qant creis la fresca fuoilla el/rams";"0016 vB";"0017 rB"
"";"Scheda";"p_°B_0026";" ";"BEdT 242,059";"§Girautz deborneill.";"Qan labruna aura seslucha.";"017 rB";"017 vB"
"";"Scheda";"p_°B_0027";" ";"BEdT 242,053";"§Girautz deborneill.";"Nuilla res achantar nom faill";"017 vB";"018 rB"
"";"Scheda";"p_°B_0028";" ";"BEdT 242,016";"§Girautz deborneill.";"Aras sim fos engrat tengut";"018 rB";"018 vB"
"";"Scheda";"p_°B_0029";" ";"BEdT 242,069";"Girautz deborneill.";"Sieus qier cosseill bellamia ala/manda.";"018 vB";"019 rB"
"";"Scheda";"p_°B_0030";" ";"BEdT 242,005";"Girautz deborneill.";"Alegrar me uolgra chantan.";"019 rB";"020 rA"
"";"Scheda";"p_°B_0031";" ";"BEdT 242,057";"§Girautz deborneill.";"Qan brancal brondels erama";"020 rA";"020 vA"
"";"Scheda";"p_°B_0032";" ";"BEdT 242,073";"Girautz deborneill.";"Si p(er) mon sobretotz nom fos";"020 vA";"021 rB"
"";"Scheda";"p_°B_0033";" ";"BEdT 242,080";"§Girautz deborneill.";"Un sonet fatz maluatz ebo.";"021 rB";"021 vA"
"";"Scheda";"p_°B_0034";" ";"BEdT 242,041";"§Girautz deborneill.";"Iois sial comenssamens";"021 vA";"022 rA"
"";"Scheda";"p_°B_0035";" ";"BEdT 242,030";"§Girautz deborneill.";"De chantar ab deport";"022 rB";"022 vB"
"";"Scheda";"p_°B_0036";" ";"BEdT 242,045";"Girautz deborneill.";"Leu chanssoneta uil";"022 vB";"023 rB"
"";"Scheda";"p_°B_0037";" ";"BEdT 242,028";"§Girautz deborneill.";"Car non ai ioi que maon";"023 rB";"023 vA"
"";"Scheda";"p_°B_0038";" ";"BEdT 242,025";"§Girautz deborneill.";"Beis couen pois ia baissal ram";"023 vA";"024 rA"
"";"Scheda";"p_°B_0039";" ";"BEdT 242,070";"§Girautz deborneill.";"Sil cors non luser tant dreig";"024 rA";"024 vB"
"";"Scheda";"p_°B_0040";" ";"BEdT 242,065";"Girautz deborneill.";"Sanc iorn agui ioi ni solatz";"024 vA";"025 rA"
"";"Scheda";"p_°B_0041";" ";"BEdT 242,011";"§Girautz deborneill.";"Apenas sai comenssar";"025 rA";"025 rB"
"";"Scheda";"p_°B_0042";" ";"BEdT 242,002";"Girautz deborneill.";"Ab semblan mi fai dechazer";"025 rB";"025 vB"
"";"Scheda";"p_°B_0043";" ";"BEdT 242,048";"§Girautz deborneill.";"Ma migam mena estra lei";"025 vB";"026 rB"
"";"Scheda";"p_°B_0044";" ";"BEdT 242,034";"Girautz deborneill.";"Gen maten";"026 rB";"026 vB"
"";"Scheda";"p_°B_0045";" ";"BEdT 029.B.A";"-";"Arnautz daniels si fo daq(ue)lla/encontrada don fo arnutz/demaroill deleuescat depeiregos";"0027 vA 01";"0027 vA"
"";"Scheda";"p_°B_0046";" ";"BEdT 029,017";"-";"Sim fos amors de ioi donar ta(n)t larga.";"027 vA";"028 rA"
"";"Scheda";"p_°B_0047";" ";"BEdT 029,014";"Arnautz daniels.";"Lo ferm uoler qel cor mintra";"028 rA";"028 vA"
"";"Scheda";"p_°B_0048";" ";"BEdT 029,006";"Arnautz daniels.";"Chansson doil mot son plan e/prim.";"028 vA";"028 vB"
"";"Scheda";"p_°B_0049";" ";"BEdT 029,018";"Arnautz daniels.";"Sols sui que sai losobrafan qe(m)/sortz.";"028 vB";"029 rB"
"";"Scheda";"p_°B_0050";" ";"BEdT 029,010";"Arnautz daniels.";"En cest sonet coind e leri";"029 rB";"029 vB"
"";"Scheda";"p_°B_0051";" ";"BEdT 029,003";"Arnautz daniels";"Anz que cim reston de branchas";"029 vB";"030 rA"
"";"Scheda";"p_°B_0052";" ";"BEdT 406.B.A";"-";"En Raimons de miraual si fo/uns paubres caualliers de/carcasses. que non auia mas la/quarta part del castel demiraual.";"030 vA";"030 vB"
"";"Scheda";"p_°B_0053";" ";"BEdT 406,028";"-";"ntre dos uolers sui pensius.";"030 vB";"031 rA"
"";"Scheda";"p_°B_0054";" ";"BEdT 406,002";"Raimons de miraual.";"Aissi cum es gensser pascors";"031 rB 01";"031 vA"
"";"Scheda";"p_°B_0055";" ";"BEdT 406,038";"§Raimons de miraual.";"Sieu enchantar souen";"031 vA";"032 rA"
"";"Scheda";"p_°B_0056";" ";"BEdT 406,023";"§Raimons de miraual.";"Contramor uau durs (et)enbro/ncs";"032 rA";"032 rB"
"";"Scheda";"p_°B_0057";" ";"BEdT 323.B.A";"-";"Peire daluernge sideleuescat/de clarmont. sauis hom fo eben/letratz. e fo fill dun borzes.";"033 rA";"033 rA"
"";"Scheda";"p_°B_0058";" ";"BEdT 323,005";"-";"Bella mes la flors daiguilen.";"033 rB 01";"033 vA"
"";"Scheda";"p_°B_0059";" ";"BEdT 323,017";"§Peire daluernge.";"En estiu qan cridal gais.";"033 vA";"034 r"
"";"Scheda";"p_°B_0060";" ";"BEdT 323,001";"§Peire daluernge.";"Abans qeil blanc puoi sion uert";"034 rA";"034 vA"
"";"Scheda";"p_°B_0061";" ";"BEdT 323,002";"§Peire daluernge.";"Ab fina ioia comenssa";"034 vA";"034 vB"
"";"Scheda";"p_°B_0062";" ";"BEdT 323,016";"§Peire daluernge.";"Dieus uera uida uerais";"035 rA 01";"035 vA"
"";"Scheda";"p_°B_0063";" ";"BEdT 323,015";"§Peire daluernge.";"Deiostals breus iorns els loncs/sers.";"035 vA";"036 rA"
"";"Scheda";"p_°B_0064";" ";"BEdT 375.B.A";"-";"Pons decapduoill si fo deleues/cat don fon Guillems de sain/leidier";"036 vA";"036 vA"
"";"Scheda";"p_°B_0065";" ";"BEdT 375,023";"-";"ant ma donat fin cor e ferm uoler.";"036 vB 01";"037 rB"
"";"Scheda";"p_°B_0066";" ";"BEdT 375,007";"Pons decapduoill.";"De totz chaitius sui eu aquel/que plus.";"037 rB";"037 vA"
"";"Scheda";"p_°B_0067";" ";"BEdT 375,020";"Pons decapduoill.";"Si cum cellui qa pro deualedors";"037 vA";"038 rA"
"";"Scheda";"p_°B_0068";" ";"BEdT 375,001";"Pons decapduoill.";"Aissi mes pres cum cellui que cer/can";"038 rA";"038 vA"
"";"Scheda";"p_°B_0069";" ";"BEdT 155.B.A";"-";"Folquetz demarseilla sifon de/marseilla. fills dun mercadier/q(ue) fo de genoa q(ue) ac nom ser amfos.";"039 rA 01";"039 rB"
"";"Scheda";"p_°B_0070";" ";"BEdT 155,021";"-";"itot mesui/atart aper/ceubutz";"039 rB";"039 vB"
"";"Scheda";"p_°B_0071";" ";"BEdT 155,007";"Folquetz demarseilla.";"Chantars me torna ad afan";"039 vB";"040 rA"
"";"Scheda";"p_°B_0072";" ";"BEdT 155,010";"§Folquetz demarseilla.";"Greu feira nuills hom faille(n)sa";"040 rA";"040 vA"
"";"Scheda";"p_°B_0073";" ";"BEdT 155,022";"§Folquetz demarseilla.";"Tant mabellis lamoros penssa/mens.";"040 vA";"041 rA"
"";"Scheda";"p_°B_0074";" ";"BEdT 155,001";"Folquetz demarseilla.";"Amors merce no moira tant so/uen";"041 rA";"041 rB"
"";"Scheda";"p_°B_0075";" ";"BEdT 155,016";"§Folqetz demarseilla.";"Per dieu amors ben sabetz uera/men";"041 vA 01";"041 vB"
"";"Scheda";"p_°B_0076";" ";"BEdT 155,011";"§Folqetz demarseilla.";"Ia nois cuig hom qieu camie mas/chanssos";"041 vB";"042 rB"
"";"Scheda";"p_°B_0077";" ";"BEdT 155,018";"§Folqetz demarseilla.";"Sal cor plagues ben fora oimais sazos.";"042 rB";"042 vB"
"";"Scheda";"p_°B_0078";" ";"BEdT 155,005";"§Folqetz demarseilla.";"Ben ant mort mi elor";"042 vB";"043 rB"
"";"Scheda";"p_°B_0079";" ";"BEdT 155,014";"§Folqetz demarseilla.";"Molt ifetz gran pechat amors";"043 rB";"043 vB"
"";"Scheda";"p_°B_0080";" ";"BEdT 155,006";"§Folquetz demarseilla.";"Chantan uolgra mon fin cor des/cobrir";"043 vB";"044 rA"
"";"Scheda";"p_°B_0081";" ";"BEdT 155,003";"§Folquetz demarseilla.";"Ay qan gen uens (et)ab q(ua)n pauc/dafan.";"044 rB 01";"044 vA"
"";"Scheda";"p_°B_0082";" ";"BEdT 155,008";"§Folquetz demarseilla.";"En chantan mauen ame(m)brar";"044 vA";"045 rA"
"";"Scheda";"p_°B_0083";" ";"BEdT 155,023";"§Folquetz demarseilla.";"Tant mou decortesa razo.";"045 rA";"045 vA"
"";"Scheda";"p_°B_0084";" ";"BEdT 155,027";"§Folquetz demarseilla.";"Uns uolers outracuiatz";"045 vA";"045 vB"
"";"Scheda";"p_°B_0085";" ";"BEdT 155,020";"Folquetz demarseilla.";"Si cum cel qes tant greuiatz";"045 vB";"046 rB"
"";"Scheda";"p_°B_0086";" ";"BEdT 155,015";"§Folquetz demarseilla.";"Oimais noi conosc razo";"046 rB";"047 rA"
"";"Scheda";"p_°B_0087";" ";"BEdT 167.B.A";"-";"Gaucelms faiditz si fo dun borc/que a nom userta q(ue) es eleues/cat delemozin. efo fills dun borzes";"047 vA";"047 vA"
"";"Scheda";"p_°B_0088";" ";"BEdT 167,002";"-";"b cossirier plaing";"047 vB 01";"048 rA"
"";"Scheda";"p_°B_0089";" ";"BEdT 167,037";"Gaucelms faiditz.";"Mon cor emi. emas bonas chans/sos.";"048 rA";"048 vA"
"";"Scheda";"p_°B_0090";" ";"BEdT 167,058";"§Gaucelms faiditz.";"Tant sui ferms efins uasamor";"048 vA";"049 rA"
"";"Scheda";"p_°B_0091";" ";"BEdT 167,059";"§Gaucelms faiditz.";"Tant ai sofert longuamen grand/afan.";"049 rA";"049 vA"
"";"Scheda";"p_°B_0092";" ";"BEdT 167,004";"§Gaucelms faiditz.";"Al semblan delrey tyes";"049 vA";"050 rA"
"";"Scheda";"p_°B_0093";" ";"BEdT 167,039";"Gaucelms faiditz.";"Mout a poignat amors en mi/delir";"050 rA";"050 vB"
"";"Scheda";"p_°B_0094";" ";"BEdT 167,022";"Gaucelms faiditz.";"Fortz causa es. Q(ue)tot lo maier/dan.";"050 vB";"051 rB"
"";"Scheda";"p_°B_0095";" ";"BEdT 167,033";"Gaucelms faiditz.";"Lonratz iauzens sers";"051 rB";"051 vB"
"";"Scheda";"p_°B_0096";" ";"BEdT 167,035";"§Gaucelms faiditz.";"Mantas sazos es hom plus uo/lontos.";"051 vB";"052 rA"
"";"Scheda";"p_°B_0097";" ";"BEdT 213.B.B";"-";"Guillems decabestaing si fo us/caualliers delencontrada de/rossillon q(ue) confina ab cataloig/na";"052 vA";"053 rA"
"";"Scheda";"p_°B_0098";" ";"BEdT 213,001";"§Guillems de cabestaing.";"(a)issi cum/cel q(ue) bais/sal suoill.";"053 rB 01";"053 vA"
"";"Scheda";"p_°B_0099";" ";"BEdT 213,005";"Guillems de cabestaing.";"Lo doutz cossire";"053 vA";"054 rA"
"";"Scheda";"p_°B_0100";" ";"BEdT 213,006";"§Guillems decabestaing.";"Lo iorn qieus ui do(n)pna p(ri)mei/ramen";"054 rB 01";"054 vA"
"";"Scheda";"p_°B_0101";" ";"BEdT 070.B.A";"-";"Bernartz deuentadorn si fo de/limozin del castel de ue(n)tedorn/hom fo depaubra generation.";"055 rA";"055 rB"
"";"Scheda";"p_°B_0102";" ";"BEdT 213,004";"-";"En pessame(n)/mi fai estar/amors.";"055 vA 01";"056 rA"
"";"Scheda";"p_°B_0103";" ";"BEdT 070,025";"Bernartz deuentedorn.";"Lan qan uei la fuoilla";"056 rA";"056 vA"
"";"Scheda";"p_°B_0104";" ";"BEdT 070,029";"Bernartz de uentedorn.";"Lo rossignols ses baudeia";"056 vA";"056 vB"
"";"Scheda";"p_°B_0105";" ";"BEdT 070,001";"Bernartz deuentedorn.";"Ab ioi mou louers elcomens";"056 vB";"057 rB"
"";"Scheda";"p_°B_0106";" ";"BEdT 070,041";"Bernartz deuentedorn.";"Qan par la flors iostal uert fu/oill";"057 rB";"057 vB"
"";"Scheda";"p_°B_0107";" ";"BEdT 070,007";"Bernartz deuentedorn.";"Ara no uei luzir soleill";"057 vB";"058 rA"
"";"Scheda";"p_°B_0108";" ";"BEdT 070,006";"§Bernartz deuentedorn.";"Eram cosseillatz seignor";"058 rB";"058 vB"
"";"Scheda";"p_°B_0109";" ";"BEdT 070,028";"Bernartz deuentedorn.";"Lo dolz temps depascor";"058 vA";"059 rA"
"";"Scheda";"p_°B_0110";" ";"BEdT 070,045";"Bernartz deuentedorn.";"Tuich cill qem pregon q(ue)u chan";"059 rA";"059 rB"
"";"Scheda";"p_°B_0111";" ";"BEdT 364.B.A";"-";"Peire uidals si fo detolosa fills/dun peillicier. ecantaua meills/dome del mon";"060 rA 01";"060 rA"
"";"Scheda";"p_°B_0112";" ";"BEdT 364,037";"-";"(p)uois tornatz sui enproenssa.";"060 rB 01";"060 vA"
"";"Scheda";"p_°B_0113";" ";"BEdT 364,004";"Peire uidals.";"Anc nomori p(er)amor ni p(er)al<.>";"060 vA";"061"
"";"Scheda";"p_°B_0114";" ";"BEdT 364,042";"Peire uidals.";"Sieu fos encort on hom trobes drei/tura";"061 rA";"061 vA"
"";"Scheda";"p_°B_0115";" ";"BEdT 364,011";"Peire uidals.";"Bem pac diuern edestiu";"061 vA";"061 vB"
"";"Scheda";"p_°B_0116";" ";"BEdT 364,029";"§Peire uidals.";"Mout mes bon ebel";"061 vB";"062 vA"
"";"Scheda";"p_°B_0117";" ";"BEdT 364,040";"Peire uidals.";"Qand hom onratz intra eng(ra)n/paubreira";"06 vA";"063 rA"
"";"Scheda";"p_°B_0118";" ";"BEdT 364,039";"Peire uidals.";"Qand hom es en autrui poder";"063 rA";"063 rB"
"";"Scheda";"p_°B_0119";" ";"BEdT 364,036";"§Peire uidals.";"Plus qel puabres qand iai el ric/ostal";"063 vA 01";"064 rA"
"";"Scheda";"p_°B_0120";" ";"BEdT 364,008";"§Peire uidals.";"Baron ihesus qen crotz fo mes";"064 rA";"064 vA"
"";"Scheda";"p_°B_0121";" ";"BEdT 364,043";"§Peire uidals.";"Sim laissaua dechantar";"064 vA";"064 vB"
"";"Scheda";"p_°B_0122";" ";"BEdT 364,023";"§Peire uidals.";"Ges del ioi qieu ai nom rancur.";"064 vB";"065 rB"
"";"Scheda";"p_°B_0123";" ";"BEdT 030.B.A";"-";"Arnautz demaruoill si fo dele/uescat deperiregos dun chastel/";"065 vB";"066 rA"
"";"Scheda";"p_°B_0124";" ";"BEdT 030,022";"Arnautz de maroill.";"(s)icum li peis/ant en laiga/lor uida";"066 rA";"066 rB"
"";"Scheda";"p_°B_0125";" ";"BEdT 030,015";"Arnautz de maroill.";"La franca captenenssa";"066 vA 01";"066 vB"
"";"Scheda";"p_°B_0126";" ";"BEdT 030,023";"§Arnautz demaroill.";"Sim destreignetz dompna uos et/amors";"066 vB";"067 rA"
"";"Scheda";"p_°B_0127";" ";"BEdT 030,019";"§Arnautz de maroill.";"Mout erant doutz miei cossir";"067 rA";"067 vA"
"";"Scheda";"p_°B_0128@";" ";"BEdT 030,003";"-";"Aissi cum cel cama enon es amatz<.>";"067 vA";"067 vB"
"";"Scheda";"p_°B_0129";" ";"BEdT 202.B.A1";"-";"Guillems ademars fo d(e)gauau/dan dun castel q(ue) a no(m) marois/gentils hom";"068 vA 01";"068 rA"
"";"Scheda";"p_°B_0130";" ";"BEdT 202,009";"-";"(n)on pot es/ser suffert/ni ate(n)dut";"068 vA";"069 rA"
"";"Scheda";"p_°B_0131";" ";"BEdT 202,001";"§Guillem ademars.";"Ben fora oimais sazos elocs";"069 rA";"069 vA"
"";"Scheda";"p_°B_0132";" ";"BEdT 202,006";"§Guillem ademars.";"El temps destiu qan par la flors/el bruoill";"069 vA";"069 vB"
"";"Scheda";"p_°B_0133";" ";"BEdT 202,002";"§Guillem ademars.";"Ben magrops qieu saubes faire.";"069 vB";"070 rB"
"";"Scheda";"p_°B_0134";" ";"BEdT 305.B.A";"-";"Lo monges de montaudon si fo/daluernge dun castel qe a nom/uic qes pres dorllac";"071 rA 01";"071 rB"
"";"Scheda";"p_°B_0135";" ";"BEdT 305,003";"Lo Monges demontaudon";"(a)issi cu(m) cel/qes emal/seignorat/ge";"071 rB";"071 vB"
